layout_id,bbox,crop_shape,det_boxes_count,det_failed,rec_input_shape,logits_shape,needs_transpose,decoded_own,decoded_transposed,final_text,usable,fallback_used,translated,translated_text,inpainted
0,"[772, 24, 911, 83]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
1,"[95, 62, 288, 173]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
2,"[725, 267, 862, 328]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
3,"[710, 334, 863, 424]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
4,"[590, 483, 847, 538]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
5,"[378, 494, 534, 602]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
6,"[399, 606, 516, 681]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
7,"[279, 776, 431, 896]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
8,"[736, 891, 1020, 974]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
9,"[570, 1013, 742, 1100]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
10,"[803, 1008, 979, 1126]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
11,"[336, 1005, 487, 1094]","(0, 0)",0,False,(),(),False,,,,False,False,False,,False
12,"[88, 1013, 279, 1127]","(114, 191)",5,False,"(1, 3, 48, 816)","(102, 438)",False,SHLRNEAVHHOK,SHLRNEAVHHOK,SHLRNEAVHHOK LOGGNONNOIG L7aEa2dOL,True,False,False,,False
